Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Sales growth 5Years,Profit growth 5Years,Average return on equity 5Years,Price to book value,Return on equity,Debt to equity,Sales growth 3Years,Profit growth 3Years,Pledged percentage,Historical PE 5Years,Cash from operations last year,Cash from operations preceding year,Days Receivable Outstanding,Interest Coverage Ratio,OPM,OPM last year,OPM preceding year,OPM latest quarter,OPM preceding quarter,OPM 5Year,OPM preceding year quarter,Dividend Payout Ratio,Dividend Payout
ACE EduTremd Ltd,530093,,INE715F01014,Other Consumer Services,Education,4.60,,4.21,0.00,0.01,120.00,0.03,,-1.25,,8.45,-3.71,0.53,-2.00,0.00,,6.27,0.00,,0.00,-0.01,,,-533.33,,,33.33,,,,0.00,0.00
Ace Engitech,530669,,INE035401020,IT - Services,IT Enabled Services,95.30,,8.19,0.00,-0.05,0.00,0.00,,,,0.66,,,,0.12,,,0.00,498.50,0.09,-0.12,,,,,,,,,,0.00,0.00
Ace Integrated,,ACEINTEG,INE543V01017,Commercial Services & Supplies,Diversified Commercial Services,17.83,,18.19,0.00,-0.20,33.33,0.13,-70.45,-6.79,-34.35,,-0.45,1.09,-5.43,0.00,-51.06,,0.00,45.64,-0.16,-0.14,824.63,-100.00,-282.00,-195.06,-25.85,-215.38,-455.56,-4.51,-102.27,0.00,0.00
Ace Men,539661,,INE023R01018,Retailing,Distributors,117.00,944.38,151.10,0.00,0.21,,3.99,,,,,,2.26,0.24,0.19,,,0.00,820.75,-5.99,,351.57,2.44,2.67,2.67,,8.77,2.82,,,0.00,0.00
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,202.65,60.59,258.70,0.00,1.19,-8.00,14.29,7.85,5.83,45.04,53.81,4.11,3.07,4.19,0.12,76.57,184.39,0.00,52.38,4.77,-9.79,51.53,5.68,10.28,10.77,20.41,9.45,6.41,9.69,11.55,0.00,0.00
Acetech E-Commerce,,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce,139.00,22.15,227.73,0.00,4.52,100.89,42.33,6.81,33.55,,,,3.26,24.82,0.00,16.47,89.11,0.00,19.02,,-1.06,124.95,174.75,16.92,16.92,13.60,14.69,19.24,,,0.00,0.00
Achyut Healthcar,543499,,INE0K1401020,Pharmaceuticals & Biotechnology,Pharmaceuticals,6.98,526.47,168.47,0.00,0.14,40.00,3.13,1.29,1.23,112.10,100.00,1.59,4.80,0.96,0.01,62.52,11.64,0.00,258.00,1.13,-4.06,45.66,11.00,2.32,1.47,-6.56,5.75,0.46,-1.13,2.27,0.00,0.00
ACI Infocom,517356,,INE167B01025,IT - Hardware,Computers Hardware & Equipments,2.55,352.25,28.18,0.00,-0.16,-14.29,0.00,,-11.14,,,-3.14,1.94,-11.98,0.00,,,0.00,79.42,-9.88,-0.22,,,,,-255.77,,,-157.72,,0.00,0.00
Acknit Indus.,530043,,INE326C01017,Textiles & Apparels,Other Textile Products,325.55,11.43,98.97,0.46,2.18,27.49,62.06,12.33,9.65,6.95,6.90,11.28,1.04,8.97,0.74,0.26,-3.35,0.00,8.66,4.68,10.06,44.70,3.92,7.53,7.43,7.55,7.91,9.52,7.58,7.15,5.57,5.57
Acme Resources,539391,,INE636B01011,Finance,Non Banking Financial Company (NBFC),28.17,62.52,72.52,0.00,0.92,-22.69,1.95,-1.52,1.70,6.24,16.01,3.52,0.55,1.08,0.07,-32.02,-51.46,0.00,25.50,10.09,1.21,32.19,12.35,-5.86,0.11,44.00,55.90,87.93,43.23,81.82,0.00,0.00
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,418.00,49.62,29547.35,0.05,235.33,64.83,857.50,67.81,8.89,3.64,51.46,4.47,5.00,10.38,3.93,16.04,149.47,0.00,42.84,1248.59,1543.02,60.06,1.66,86.83,88.04,88.05,85.63,87.40,86.65,89.59,2.43,2.43
Acrow India,513149,,INE950D01012,Industrial Products,Iron & Steel Products,785.00,94.79,50.24,0.00,0.18,100.00,0.00,,2.65,,25.89,-0.14,2.20,1.90,0.00,,48.93,0.00,82.14,-3.47,-0.78,3.29,,-6.53,-7.72,-33.33,,-30.48,,,0.00,0.00
ACS Tech,530745,ACSTECH,INE366C01021,IT - Services,IT Enabled Services,51.83,32.36,359.89,0.00,3.92,422.67,95.12,244.26,10.28,,,,2.35,6.84,0.35,56.11,40.01,0.00,31.84,-36.47,14.39,104.94,6.65,7.44,7.44,8.10,7.94,3.79,,9.01,0.00,0.00
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1125.40,30.68,13401.62,0.18,119.49,22.28,785.68,20.49,31.63,21.73,40.38,24.38,6.66,22.81,0.00,14.95,38.09,0.00,30.50,417.25,411.98,31.63,32.23,15.50,15.36,15.20,15.00,16.75,13.42,14.24,136.67,136.67
Active Clothing,541144,,INE380Z01015,Textiles & Apparels,Garments & Apparels,110.25,16.85,171.02,0.00,2.24,5.16,67.55,4.79,10.61,34.04,178.49,7.46,1.84,11.81,1.36,16.43,64.44,0.00,32.56,13.81,-10.37,133.06,2.19,8.64,8.70,9.30,10.42,7.47,8.65,10.80,0.00,0.00
Active Infra.,,ACTIVEINFR,INE0KLO01025,Realty,"Residential, Commercial Projects",172.50,25.39,259.01,0.29,4.39,8.51,57.54,2.59,9.57,,,15.79,2.15,8.78,0.67,2.60,1.45,0.00,26.94,-24.51,4.48,188.76,5.31,16.69,16.69,26.33,11.84,23.60,18.81,,7.34,7.34
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3168.50,67.17,25940.87,0.05,74.99,67.67,329.67,59.08,31.56,31.50,45.77,18.21,15.69,24.04,0.02,29.50,61.97,0.00,59.25,292.17,118.34,98.80,141.20,37.12,35.87,23.05,34.30,42.41,25.46,24.57,5.75,5.75
AD Manum Finance,511359,,INE556D01017,Finance,Non Banking Financial Company (NBFC),55.99,4.22,41.99,0.00,2.63,-16.44,4.63,45.14,14.92,8.88,28.46,9.92,0.46,12.45,0.26,16.15,30.15,0.00,7.35,7.08,0.50,28.39,11.55,87.57,88.75,90.01,88.12,111.26,79.03,91.22,0.00,0.00
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1409.60,59.05,172387.66,0.00,1236.56,124.22,9711.08,42.41,9.65,22.68,12.86,10.93,6.66,9.44,1.93,27.56,21.29,0.00,88.77,10996.68,9044.51,75.86,2.00,29.87,29.02,29.73,30.98,28.82,31.90,26.55,0.00,0.00
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,2938.00,167.50,397637.62,0.04,-1461.54,-35.82,32923.98,49.92,5.80,20.50,,3.62,4.69,-3.38,1.32,-7.64,,0.79,110.59,2356.91,4513.10,45.57,1.56,14.09,13.93,14.56,15.25,11.50,10.61,15.07,1.80,1.80
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1301.30,110.55,214347.03,0.00,983.00,16.89,4431.00,16.61,7.39,32.85,44.09,14.72,10.74,11.40,5.19,18.38,17.34,0.00,163.59,10135.00,8364.00,60.11,1.29,86.37,83.42,79.28,89.93,82.30,76.64,80.05,0.00,0.00
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1707.30,29.60,393354.94,0.44,3649.50,9.23,10820.80,18.57,14.12,25.28,21.00,16.81,4.10,16.38,0.66,22.93,27.25,0.00,27.49,20356.25,17226.28,60.14,4.17,57.87,59.04,60.45,57.79,56.06,57.77,60.22,13.49,13.49
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,207.20,28.03,399578.87,0.00,4866.60,41.98,18901.89,33.97,17.22,15.65,58.41,33.42,6.15,21.07,0.84,11.84,5.87,1.81,15.91,20513.65,21501.11,79.35,6.19,37.38,36.52,38.11,42.05,33.27,34.95,40.29,0.00,0.00
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,612.35,110.82,67346.87,0.04,133.03,-17.97,1743.48,27.10,15.09,28.16,5.60,17.99,13.96,14.06,0.47,10.23,6.16,0.00,137.82,1150.00,980.33,25.63,6.85,18.66,20.26,22.80,15.34,19.32,22.31,21.30,4.32,4.32
Adarsh Plant,526711,,INE627D01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,27.37,,27.12,0.00,-0.29,-625.00,2.38,-10.19,5.97,-0.95,,-9.96,96.88,-6.25,20.10,-11.21,,0.00,80.16,-0.28,0.57,75.49,0.30,6.12,6.73,-4.91,-3.36,21.94,1.72,1.51,0.00,0.00
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,2409.00,49.19,1108.14,1.04,8.58,72.64,63.42,40.59,31.44,27.29,39.37,26.23,12.78,24.17,0.00,11.87,32.33,0.00,30.17,13.41,25.93,81.70,,11.70,10.31,15.60,17.09,7.33,11.66,13.12,60.75,60.75
Adcon Capital,539506,,INE805Q01028,Finance,Non Banking Financial Company (NBFC),0.48,,9.52,0.00,0.55,14.58,1.62,74.19,-3.15,74.88,,0.08,0.31,-6.57,0.00,101.48,,0.00,11.38,3.89,-1.30,12.75,-0.71,-21.63,-22.27,84.88,45.68,-147.96,18.79,93.55,0.00,0.00
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,89.08,9.70,200.44,0.00,4.71,14.88,23.08,35.37,37.04,39.42,83.28,40.12,1.88,27.74,0.03,16.53,37.96,0.00,14.93,1.74,-0.24,192.17,56.02,28.11,28.90,26.49,26.52,26.04,23.76,29.85,0.00,0.00
Add-Shop E-Reta.,541865,,INE01B501018,Retailing,E-Retail/ E-Commerce,6.15,15.54,17.41,0.00,0.27,28.57,45.64,55.19,1.98,14.63,-31.84,10.54,0.15,1.00,0.22,-7.74,-61.10,0.00,12.18,7.94,-10.01,264.21,2.31,1.98,2.23,4.16,1.88,1.70,8.27,2.62,0.00,0.00
Addi Industries,507852,ADDIND,INE757C01021,Textiles & Apparels,Garments & Apparels,79.34,35.54,85.66,0.00,0.89,5.95,2.09,,4.37,,16.28,3.52,1.05,2.93,0.00,,-0.14,0.00,18.98,-5.61,2.20,248.09,7.12,-23.16,-35.74,,-5.74,-7.03,,,0.00,0.00
Addictive Learn,,ADDICTIVE,INE0RDH01021,Other Consumer Services,E-Learning,43.30,,68.89,0.00,0.31,-75.97,22.69,8.41,-0.11,,,,0.88,-0.61,0.00,31.20,,0.00,22.75,15.90,17.07,4.10,,16.36,16.36,28.92,20.98,-6.09,,26.66,0.00,0.00
Adeshwar Meditex,543309,,INE0H8J01015,Healthcare Services,"Healthcare Research, Analytics & Technology",16.30,18.67,23.52,0.00,0.53,-60.45,26.05,-30.44,5.21,-3.19,-6.68,4.91,0.61,3.35,0.16,-12.01,-15.25,0.00,18.49,4.97,3.80,135.46,4.00,4.94,4.94,5.28,4.72,5.12,5.72,,0.00,0.00
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,264.80,30.06,2909.19,0.45,17.29,13.45,167.29,25.90,21.82,13.06,13.67,15.55,5.09,17.66,0.10,14.91,20.44,0.00,33.32,57.59,37.42,76.80,47.02,19.06,19.14,16.68,17.72,17.44,18.09,17.70,14.91,14.91
Adhbhut Infra.,539189,,INE578L01014,Realty,"Residential, Commercial Projects",13.95,,15.35,0.00,-0.40,-21.21,0.15,0.00,,54.19,,,,,,-33.98,,0.00,41.75,0.78,-0.42,1663.44,-4.13,-36.67,-27.87,44.58,-26.67,-186.67,28.83,0.00,0.00,0.00
Adinath Textiles,514113,,INE207C01019,Textiles & Apparels,Other Textile Products,22.96,,15.64,0.00,0.05,-54.55,0.00,,1.33,,-31.01,11.78,5.18,1.67,0.00,,-57.47,0.00,42.14,-1.18,-1.17,,,,,,,,,,0.00,0.00
Adisoft Technol.,,ADISOFT,INE20PL01012,Industrial Manufacturing,Industrial Products,206.25,14.68,336.56,0.00,17.59,84.00,117.46,46.40,38.00,,,,,37.72,0.30,30.12,55.66,0.00,9.73,17.34,-0.72,180.88,18.21,17.98,17.98,16.40,19.00,,,,0.00,0.00
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,126.37,12.61,714.11,0.00,11.13,-27.63,130.77,16.02,9.91,19.51,30.97,32.80,2.38,22.66,7.35,20.71,21.39,0.00,13.44,-317.26,-126.20,33.79,1.51,47.93,48.54,50.53,47.39,50.14,43.39,48.57,0.00,0.00
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1062.30,30.45,30738.55,2.40,309.49,11.68,462.96,3.48,32.23,11.34,13.17,27.32,7.59,25.15,0.02,15.08,17.89,0.00,20.57,811.93,708.48,9.70,270.60,58.92,64.00,64.91,55.65,58.14,64.14,59.45,75.53,75.53
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,52.97,,6465.04,0.00,-248.73,-1.54,2025.56,10.60,-3.76,9.27,-6.30,-11.11,1.11,-13.63,1.06,-13.01,,0.00,32.67,160.75,1681.33,18.17,-0.76,7.91,8.59,9.50,5.46,9.44,10.59,5.78,0.00,0.00
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,404.90,27.54,110841.87,0.00,1223.85,40.07,12179.54,28.17,8.72,18.77,28.22,14.55,3.08,12.04,5.22,14.70,-6.63,0.00,18.00,-36544.12,-27934.63,6.76,1.46,36.95,36.69,35.13,40.71,33.69,34.02,40.52,0.00,0.00
Aditya Consumer,540146,,INE427V01013,Retailing,Diversified Retail,31.82,,46.57,0.00,0.04,102.60,46.20,-6.12,-6.40,-0.50,,-3.11,2.51,-10.85,0.32,-1.92,,0.00,116.73,0.97,3.23,1.00,-3.60,-1.19,-1.19,-2.44,0.69,-3.12,1.44,8.15,0.00,0.00
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3704.60,91.82,43825.58,0.04,142.20,332.48,1402.42,89.51,28.56,29.72,65.82,24.67,23.25,25.41,0.14,22.71,48.42,0.00,95.53,13.47,27.21,121.44,27.64,14.52,13.41,7.96,14.52,18.06,9.47,8.23,5.25,5.25
Aditya Ispat,513513,,INE570B01012,Industrial Products,Iron & Steel Products,8.40,,4.49,0.00,-0.83,11.70,7.44,13.94,-36.24,-7.99,,-36.25,,-243.75,3.29,-14.98,,100.00,11.46,-0.68,6.06,98.99,-4.69,-20.07,-19.95,-3.03,-5.38,-64.14,0.32,-2.45,0.00,0.00
Aditya Spinners,521141,,INE122D01026,Textiles & Apparels,Other Textile Products,14.90,43.75,24.94,0.00,-0.70,27.08,13.16,-19.31,0.49,13.71,22.16,4.00,0.55,0.68,0.36,-2.67,-57.44,0.00,14.66,2.88,0.33,6.95,0.35,4.34,3.56,3.26,2.13,7.16,7.12,-0.49,0.00,0.00
Aditya Ultra,,AUSL,INE01YQ01013,Industrial Products,Iron & Steel Products,24.55,15.17,60.97,0.00,3.42,-17.19,221.10,-18.99,7.36,3.18,-2.53,9.65,0.59,3.96,0.77,-8.54,13.08,0.00,11.36,3.76,-44.03,46.39,1.64,2.69,2.69,3.41,4.45,0.59,2.65,,0.00,0.00
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,600.05,55.30,7748.93,0.21,77.22,39.99,1192.68,26.85,17.08,29.00,42.22,24.52,11.26,18.71,0.83,26.42,22.91,0.00,50.78,74.95,-40.82,0.05,5.53,8.98,8.58,9.21,10.44,8.08,9.25,9.54,13.80,13.80
Adjia Tech,543269,,INE0G0V01018,IT - Software,Computers - Software & Consulting,61.82,,5.44,0.00,-0.07,-150.00,0.00,-100.00,-7.11,,5.64,-2.43,2.54,-5.91,0.02,,-17.79,0.00,59.16,0.03,0.05,,,,,8.33,,,50.62,,0.00,0.00
Adline Chem Lab,524604,,INE276T01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,12.12,,7.09,0.00,0.04,180.00,0.00,,-933.33,,12.24,,,,,,,0.00,51.12,-0.16,-0.23,,-0.44,,,,,,,,0.00,0.00
Admach Systems,544669,,INE0XLO01010,Industrial Manufacturing,Industrial Products,422.05,28.56,285.85,0.00,5.54,30.97,40.46,26.99,25.03,,,29.20,4.06,21.64,0.00,73.91,364.31,0.00,15.75,-4.53,1.57,165.89,15.01,18.53,18.53,19.30,15.08,23.44,18.22,,0.00,0.00
Adon Agro,544809,,INE1SME01017,Food Products,Other Food Products,83.00,8.25,191.04,0.00,20.39,166.19,191.12,109.38,83.99,,,87.87,,91.69,0.63,144.18,462.77,0.00,6.00,-9.04,4.58,23.17,15.76,10.55,10.55,10.13,15.63,,9.11,,0.00,0.00
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1674.40,24.34,2913.93,1.37,27.35,890.46,308.63,23.19,22.71,20.48,42.15,16.97,5.17,16.42,0.01,13.49,14.03,0.00,24.77,116.73,139.14,74.53,75.06,13.50,10.82,9.45,11.44,14.87,10.48,-1.75,48.33,48.33
Adroit Info.,532172,ADROITINFO,INE737B01033,IT - Services,IT Enabled Services,10.31,15.64,56.32,0.00,0.63,-25.00,15.01,52.70,6.54,51.09,18.88,3.83,0.72,4.34,0.34,29.42,-4.43,0.00,23.09,7.20,-5.12,136.89,3.87,9.06,10.93,-4.98,7.33,3.44,11.85,13.63,0.00,0.00
Adtech Systems,544185,,INE257C01014,Industrial Manufacturing,Industrial Products,50.21,26.59,59.82,2.19,-0.52,-178.79,13.19,50.06,9.31,,,7.12,1.12,6.46,0.00,-8.79,-1.42,29.68,20.96,6.40,6.40,140.80,29.08,5.36,9.19,13.40,-5.16,3.76,9.47,9.78,38.31,38.31
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2151.30,40.76,2354.17,0.09,14.80,65.95,179.27,51.37,27.91,61.17,63.25,23.14,8.46,21.53,0.34,89.99,82.99,0.00,51.23,-9.68,46.47,75.53,6.27,12.26,11.73,13.09,13.82,12.61,13.24,11.61,4.23,4.23
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,117.43,15.44,754.91,0.00,22.55,152.24,330.40,95.93,19.62,25.53,31.27,25.42,2.44,17.18,0.32,17.18,33.37,0.00,17.53,-70.04,5.71,112.61,9.13,10.20,10.17,9.94,10.61,10.80,8.69,10.15,0.00,0.00
Advance Lifes.,521048,,INE900E01015,Textiles & Apparels,Other Textile Products,28.40,2.81,17.68,0.00,1.94,1516.67,15.21,,9.94,,68.26,4.85,0.55,14.89,1.28,,102.44,0.00,22.14,-69.03,-0.32,,3.36,-3.35,,,-0.79,,,,0.00,0.00
Advance Meter.,534612,,INE436N01029,Power,Power Generation,17.57,,28.22,0.00,2.36,-2.07,4.21,-12.29,-8.22,-2.78,-4.58,-6.68,0.35,-11.88,0.21,-9.66,-22.92,0.00,341.79,-9.28,-3.90,125.43,-4.99,-100.08,-96.03,-37.48,-9.50,-307.88,-29.79,-8.75,0.00,0.00
Advance Petroch.,506947,,INE334N01018,Chemicals & Petrochemicals,Commodity Chemicals,374.60,16.44,33.71,0.00,2.04,20300.00,18.90,98.74,7.25,22.12,-35.56,10.74,8.28,0.74,3.47,8.49,-68.28,0.00,80.73,2.99,2.11,89.01,3.31,8.28,3.93,3.02,17.25,6.42,4.79,4.42,0.00,0.00
Advance Techno.,544843,,INE13ZJ01010,Industrial Products,Castings & Forgings,66.50,14.54,60.05,0.00,,,,,24.63,15.42,49.66,28.18,,35.42,1.26,9.79,70.04,0.00,11.44,4.45,3.79,96.05,4.65,15.54,15.54,10.06,,,9.53,,0.00,0.00
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,293.20,20.83,3283.14,1.82,38.59,-7.11,189.79,2.09,13.96,8.24,1.25,10.32,2.01,10.16,0.02,11.32,12.46,0.00,28.17,156.78,142.50,70.98,91.09,29.83,30.88,30.70,26.86,31.09,32.27,30.35,35.50,35.50
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Leisure Services,Hotels & Resorts,49.45,19.37,457.11,3.64,1.39,-40.85,21.02,5.52,10.84,31.18,51.15,20.29,0.89,8.21,0.01,2.66,-4.88,0.00,21.50,23.40,21.20,1.88,347.44,28.62,30.15,32.25,7.85,44.10,32.09,14.86,69.74,69.74
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Leisure Services,Hotels & Resorts,134.57,14.98,725.91,0.00,6.74,61.52,80.52,0.09,6.78,,,,0.80,5.47,0.88,,,28.92,0.04,162.12,2310.32,10.21,2.49,34.99,36.59,35.64,32.64,37.80,,26.54,0.00,0.00
Advik Capital,539773,ADVIKCA,INE178T01024,Finance,Non Banking Financial Company (NBFC),1.12,,68.15,0.00,-2.27,-86.07,-8.89,-236.35,-5.13,-26.20,,0.55,0.48,-14.34,1.01,-86.86,,0.00,15.36,36.09,-111.67,0.00,-1.12,-1202.19,-1202.19,76.11,,,5.64,80.98,0.00,0.00
Advit Jewels,544803,RAMBHAJO,INE1SJO01012,Consumer Durables,"Gems, Jewellery And Watches",268.68,33.60,1230.82,0.00,8.19,37.88,35.32,37.06,32.17,,,,,45.62,0.79,52.92,49.02,0.00,0.01,13.33,-36.98,19.71,7.41,29.56,29.56,29.76,32.96,29.05,,34.19,0.00,0.00
Aegeus Technolog,544858,,INE0WR901013,Commercial Services & Supplies,Diversified Commercial Services,124.50,25.94,104.26,0.00,,,,,31.57,,,,,29.98,0.77,,,0.00,21.52,-1.51,1.05,140.67,5.01,16.72,16.72,14.84,,,,,0.00,0.00
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,1270.20,35.63,44584.02,0.68,544.84,268.90,2356.86,37.07,13.33,16.74,31.23,15.93,7.36,16.27,0.69,-1.15,24.14,0.00,31.53,2027.69,558.19,21.07,12.97,21.46,17.42,16.23,30.28,24.06,13.22,13.95,34.00,34.00
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,284.50,116.40,31522.36,0.07,69.42,-6.96,233.77,12.39,7.56,,,10.96,7.35,11.02,0.87,37.73,1471.83,0.00,112.11,701.96,576.33,73.62,3.99,74.60,74.37,72.84,76.75,73.60,,74.65,71.38,71.38
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,160.05,15.30,326.00,0.00,12.61,583.14,207.81,120.14,18.84,-4.31,13.95,16.63,2.59,18.69,0.89,51.85,123.45,0.00,31.66,-30.26,-29.20,35.74,3.67,10.50,10.50,4.44,12.00,8.70,8.67,,0.00,0.00
Aeonx Digital,524594,,INE994D01010,IT - Services,IT Enabled Services,105.25,,48.78,0.95,-0.34,-169.39,12.41,-23.68,0.46,24.26,,3.51,0.94,-0.25,0.03,28.86,,0.00,26.05,-2.86,-4.61,71.94,-6.09,-8.09,-4.69,5.03,-14.42,-11.62,-1.64,-0.62,0.00,0.00
Aequs,544634,AEQUS,INE947N01017,Aerospace & Defense,Aerospace & Defense,242.18,,16242.18,0.00,-53.23,-1457.91,395.55,54.77,1.69,,,,10.93,-9.96,0.47,14.85,-4.73,0.00,,-98.75,26.14,78.49,-0.09,5.58,7.46,8.60,3.73,1.14,,10.65,0.00,0.00
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,537.45,105.91,7112.12,0.07,18.79,162.06,145.38,72.39,18.92,25.06,50.35,19.25,15.90,14.07,0.02,17.93,19.63,0.00,50.58,65.84,26.58,107.22,83.07,23.41,22.70,21.22,23.04,23.86,20.82,18.36,9.53,9.53
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrial Products,Iron & Steel Products,141.81,10.56,1604.78,0.28,103.22,854.16,189.00,40.54,12.63,27.78,49.41,10.64,1.94,8.41,0.05,14.37,17.26,0.00,18.38,18.30,37.01,111.86,47.12,16.02,17.62,17.88,9.13,17.97,16.02,13.58,7.04,7.04
Aeroflex Neu,543743,AERONEU,INE035801013,Industrial Products,Packaging,80.57,1154.67,207.84,0.00,0.08,-91.25,28.24,-4.92,4.76,,,2.94,2.04,1.60,0.24,10.53,-24.22,0.00,246.63,2.89,8.56,65.49,1.97,2.92,3.11,3.47,3.40,0.18,5.15,2.39,0.00,0.00
Aeron Composites,,AERON,INE0WL801011,Industrial Products,Other Industrial Products,83.00,15.94,141.27,0.00,1.48,-75.83,103.01,-5.14,9.77,22.99,28.29,17.78,1.29,8.41,0.53,7.34,10.31,0.00,12.10,5.58,-8.84,79.14,4.46,8.67,8.67,8.50,7.80,7.70,7.58,,0.00,0.00
Aerpace Indus,534733,,INE175N01023,Industrial Products,Iron & Steel Products,39.96,,614.82,0.00,-4.16,-139.53,0.00,,-21.52,,,,16.35,-35.16,1.05,,,0.00,,-3.13,-5.15,,-9.81,,,,,,,,0.00,0.00
Aesthetik Engi.,,AESTHETIK,INE0TSF01011,Construction,Civil Construction,69.80,16.86,120.20,0.00,3.62,-26.72,80.50,99.11,17.64,,,,2.39,15.06,0.50,43.49,84.79,0.00,20.38,14.86,2.61,53.73,6.03,10.19,10.19,13.15,7.94,14.98,,,0.00,0.00
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1625.60,89.93,21576.31,0.00,62.75,27.98,326.56,27.25,11.92,,,9.87,8.78,9.66,0.19,21.23,20.35,0.00,88.42,142.38,100.02,122.72,17.92,31.34,31.34,28.91,31.47,27.10,28.47,31.63,0.00,0.00
Afcom Holdings,544224,,INE0OXY01013,Transport Services,Logistics Solution Provider,1630.65,32.13,4714.80,0.00,39.24,86.06,176.10,48.12,33.49,111.16,98.76,32.87,6.79,36.01,0.54,90.66,109.49,0.00,47.89,35.99,27.38,84.98,9.73,38.60,40.05,28.82,40.36,38.11,33.21,39.52,0.00,0.00
Afcons Infrastr.,544280,AFCONS,INE101I01011,Construction,Civil Construction,292.80,52.56,10768.73,0.68,30.30,-77.73,2671.00,-20.75,13.91,4.97,11.84,11.60,1.98,5.61,0.67,-1.85,-11.01,100.00,31.65,-127.49,-132.20,104.83,1.48,9.19,10.38,10.85,9.42,1.64,10.18,12.92,29.25,29.25
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1616.50,47.68,22778.80,0.00,128.44,21.74,747.16,20.37,16.84,39.29,27.54,15.78,6.23,13.79,0.00,23.63,22.97,0.00,61.26,502.35,425.99,51.95,143.88,22.50,22.52,21.32,22.43,22.25,20.93,22.51,0.00,0.00
Affordable Robo.,541402,AFFORDABLE,INE692Z01013,Industrial Manufacturing,Industrial Products,157.47,32.34,186.62,0.00,-4.80,-33.33,9.12,-51.54,8.25,14.63,32.70,6.47,1.50,6.06,0.44,-0.26,15.82,0.00,72.00,42.89,9.86,178.85,3.10,13.27,14.45,8.89,-35.96,20.03,9.88,-10.73,0.00,0.00
AFLOAT Enterpris,543377,,INE0CWK01019,Industrial Products,Iron & Steel Products,6.36,,7.99,0.00,0.17,-71.19,0.80,-86.89,0.00,-30.72,,0.95,0.51,0.00,0.03,-21.63,,0.00,52.86,-0.73,-10.43,166.28,,-6.11,-6.11,0.66,7.50,-18.00,-4.31,,,
AG Ventures,506579,,INE321D01016,Chemicals & Petrochemicals,Commodity Chemicals,131.25,5.79,131.12,0.00,21.21,554.26,49.05,134.69,2.31,-22.45,-42.52,3.15,0.48,1.85,0.11,-41.44,-53.43,0.00,7.21,-6.08,8.09,38.68,15.17,22.75,7.69,12.71,52.58,3.69,18.84,13.11,0.00,0.00
